lat,lon,elev,UStmax
38.33,-120.67,218,33.7333333333333
34.63,-117.6,872,35.9333333333333
33.67,-117.35,397,36.0666666666667
33.12,-117.08,201,29.8666666666667
40.8,-124.17,13,18.2333333333333
38.25,-122.05,6,30.5333333333333
34.7,-118.43,933,30.6333333333333
38.7,-121.17,107,33.9333333333333
41.85,-120.13,1373,27.2333333333333
39.5,-123.78,37,20.4333333333333
38.52,-123.25,34,20.0333333333333
36.78,-119.72,102,35.2
36.98,-119.72,125,35.8333333333333
35.72,-118.7,955,30.2
36.73,-118.97,2007,22.3
39.22,-121.07,732,29
38.43,-122.88,64,28.2666666666667
40.48,-123.92,125,23.2
37.47,-122.43,12,18.6666666666667
36.3,-119.65,75,34.5
41.8,-123.37,341,31.1333333333333
33.7,-115.63,418,38.9666666666667
38.62,-122.87,33,31.7666666666667
33.23,-116.77,823,33.4333333333333
37.95,-119.78,1180,27.9666666666667
36.85,-121.4,85,26.7
37.23,-119.22,2140,22.2
33.75,-116.72,1647,27.4
32.85,-115.57,-20,39.8666666666667
36.8,-118.2,1204,35.0333333333333
33.73,-116.27,-6,40.3
35.65,-117.82,744,37.9333333333333
34.15,-115.12,287,41.1
41.27,-120.3,1613,26.4666666666667
37.95,-122.55,3,28.8333333333333
35.78,-118.43,824,35.5
36.2,-121.13,98,29.0333333333333
34.23,-117.18,1595,26.5
38.5,-122,55,34.6666666666667
39.32,-120.63,1572,25.2
41.73,-121.52,1454,26.1
36.38,-119.03,156,34.5333333333333
36.18,-119.05,128,35.0333333333333
37.67,-121.77,146,30.7666666666667
36.6,-118.73,2056,23.2
38.12,-121.28,12,32.2333333333333
34.67,-120.47,21,24.4333333333333
33.82,-118.15,21,28.4666666666667
33.93,-118.38,38,24.2333333333333
34.05,-118.23,156,29.0666666666667
37.05,-120.85,40,34.2
37.02,-120.93,125,33.4333333333333
37.22,-121.98,131,29.0666666666667
36.97,-120.02,92,34.4333333333333
40.53,-121.57,1784,22.9333333333333
35.08,-119.38,207,34.5333333333333
38.5,-122.12,146,33
38.02,-122.12,12,30.8666666666667
39.15,-121.6,17,34.9
37.28,-120.52,47,34.3333333333333
40.35,-121.57,1510,24.9
34.93,-115.53,1315,34.3
37.65,-121,28,32.6666666666667
35.05,-118.17,834,34.8
34.03,-118.1,73,31.8666666666667
36.6,-121.92,79,20.9333333333333
35.37,-120.85,37,19.3666666666667
37.87,-121.93,661,28.0333333333333
37.33,-121.65,1284,24
41.32,-122.32,1094,26.8666666666667
34.23,-118.07,1784,26.9666666666667
38.28,-122.27,11,27.5333333333333
34.77,-114.62,279,40.4333333333333
39.27,-121.03,793,28.3666666666667
37.52,-122.03,3,24.8
34.95,-119.68,659,33.3333333333333
37.95,-120.53,238,34.5333333333333
33.6,-117.88,3,21.1333333333333
34.45,-119.23,229,31.1666666666667
41.37,-124.02,49,21.3333333333333
39.75,-122.2,77,33.5333333333333
41.3,-123.53,125,31.4666666666667
34.18,-119.17,15,23.2
37.6,-122.48,114,22.2333333333333
34.58,-118.12,811,35.4333333333333
33.9,-116.55,128,41.0333333333333
39.75,-121.62,522,31.0333333333333
34.28,-114.17,225,40.7666666666667
34.15,-118.15,263,32.3333333333333
35.63,-120.68,213,32.1666666666667
35.6,-120.65,248,33.5
38.27,-122.65,9,26.8666666666667
36.48,-121.18,398,33.6666666666667
35.13,-120.63,9,22.2666666666667
38.73,-120.8,576,32
38.73,-120.73,842,30.9333333333333
34.07,-117.77,262,31.5333333333333
36.07,-119.02,120,35.8666666666667
39.37,-123.13,308,31.1
36.2,-120.7,686,33.1666666666667
33.03,-116.88,430,31.0666666666667
35.37,-117.65,1088,34.9
40.5,-122.3,153,35
34.05,-117.18,402,34.7333333333333
37.48,-122.23,9,27.3333333333333
40.03,-123.78,152,28.4666666666667
37.93,-122.35,17,22.8
33.97,-117.35,275,34.6
33.97,-117.33,319,33.9
38.52,-121.5,7,33.6333333333333
38.58,-121.5,23,33.9
39.43,-120.23,1934,24.2666666666667
36.7,-121.67,16,22.1333333333333
38.5,-120.22,1128,30.0333333333333
34.13,-117.27,357,33.6666666666667
32.73,-117.17,11,24.6666666666667
37.62,-122.38,5,22.5
37.78,-122.42,38,21.7
34.1,-118.1,122,32.5333333333333
37.3,-122.33,110,21.0666666666667
37.33,-121.88,29,27.6666666666667
37.05,-121.07,79,32.3666666666667
35.3,-120.67,96,26.2666666666667
33.08,-117,128,32.1666666666667
37.97,-122.53,9,26.7
34.42,-119.68,2,25.0666666666667
34.43,-119.83,5,25.1666666666667
36.98,-122.02,40,24.0333333333333
34.93,-120.42,71,23.0666666666667
34,-118.5,6,21.2666666666667
34.35,-119.07,82,27.6666666666667
38.45,-122.7,51,26.7666666666667
40.48,-124.1,42,21.3666666666667
40.72,-122.42,328,32.7
39.57,-120.63,1281,27.7666666666667
38.28,-122.45,21,30.7333333333333
37.9,-121.25,8,33.1333333333333
37.95,-121.23,6,33.4
39.58,-122.53,241,34.2
39.57,-121.1,1153,26.1666666666667
40.38,-120.57,1264,30.2
39.17,-120.13,1899,24.1666666666667
38.9,-120,1906,25.1
35.13,-118.47,1214,27.7666666666667
35.03,-118.75,434,33.9
40.87,-120.45,1617,27.1333333333333
36.47,-118.87,348,36.1333333333333
38.45,-120.48,720,30.5333333333333
33.83,-118.32,24,26.8
40.72,-122.8,567,31.2
35.78,-117.38,519,39.1333333333333
39.33,-120.18,1824,25.7666666666667
37.48,-120.85,35,33.3
33.73,-117.78,36,28.8333333333333
34.13,-116.05,607,39.7
34.98,-120.32,177,26.8333333333333
39.15,-123.2,193,30.7
34.07,-118.45,134,25.4
38.4,-121.95,34,34.2333333333333
34.53,-117.3,866,35.4333333333333
36.33,-119.3,107,32.5
38.72,-123,68,30.6666666666667
35.6,-119.33,105,35.5666666666667
36.93,-121.77,31,22.6333333333333
40.73,-122.93,625,32.7666666666667
40.62,-122.53,400,33.5333333333333
36.27,-117.18,1250,34.2
39.52,-122.3,71,33.6
38.52,-121.97,40,35.5666666666667
37.75,-119.58,1209,30.4666666666667
41.72,-122.63,800,30.9666666666667
44.4,-104.433,1988,21.8
40.15,-103.15,1385,29.4666666666667
37.43,-105.85,2298,26.8333333333333
39.5,-108.38,1734,31.7666666666667
39,-105.88,2724,23.2
39.18,-106.83,2413,24.1
39.4,-105.48,2358,24.6
37.43,-105.52,2361,25.9333333333333
39.62,-102.18,1113,30.7
40,-105.27,1672,28.2
40.65,-104.33,1488,29.4
39.98,-104.83,1519,30.4
40.8,-108.92,1632,31.4666666666667
38.83,-106.13,2434,26.5
39.7,-104.22,1586,30.9333333333333
39.65,-105.7,3056,19.1666666666667
37.02,-102.57,1311,31.8666666666667
38.42,-105.23,1625,29.8333333333333
39.37,-104.87,1894,27.5333333333333
38.9,-107.93,1885,31.7666666666667
37.75,-106.12,2339,25.4666666666667
39.22,-105.28,2097,27.7333333333333
39.65,-104.85,1721,31.0333333333333
38.82,-102.35,1295,30.8666666666667
39.38,-106.2,3445,17.3333333333333
38.43,-106.77,2438,26.2
39.25,-107.97,1823,29.5
39.1,-108.73,1763,32.5666666666667
38.82,-104.7,1881,28.1
37.35,-108.57,1885,29.9333333333333
40.45,-107.6,1963,28
38.87,-106.97,2705,23.1
37.98,-105.68,2474,27.4666666666667
37.67,-106.35,2402,24.5
38.75,-108.07,1562,33.4666666666667
39.77,-104.88,1615,30.1666666666667
39.63,-106.03,2763,21.9
40.23,-108.97,1805,31.4333333333333
37.28,-107.88,2012,29.9
38.48,-102.78,1284,32.0333333333333
39.67,-106.83,1982,29.5666666666667
39.75,-105.08,1662,30.6666666666667
40.38,-105.52,2364,24.4
39.63,-105.32,2135,25.5
39.32,-103.08,1519,29.8333333333333
40.58,-105.08,1525,28.7666666666667
40.22,-103.8,1320,30.9333333333333
39.17,-108.75,1366,32.9333333333333
39.12,-108.53,1479,33.0666666666667
39.07,-108.58,1409,32.6333333333333
40.27,-105.83,2556,23.8666666666667
40.25,-105.85,2556,23.4333333333333
39.47,-105.68,2650,22.5666666666667
37.72,-105.53,2475,26.3
40.42,-104.7,1418,30.0333333333333
39.88,-106.33,2367,23.0333333333333
38.53,-106.97,2329,25.2666666666667
40.48,-107.25,1943,28.2333333333333
37.77,-107.13,2743,22.3666666666667
40.97,-106,2365,24.4666666666667
38.05,-102.12,1033,33.6
40.58,-102.3,1137,29.2
37.13,-107.63,1958,28.1333333333333
39.65,-102.68,1302,30.5666666666667
38.07,-102.93,1162,32.1666666666667
41,-102.25,1058,31.2
38.73,-103.53,1549,30.3
38.05,-103.52,1279,33.2666666666667
37.72,-103.48,1292,33.5666666666667
39.75,-105.13,1718,28.5333333333333
38.08,-102.62,1106,33.1666666666667
38.07,-103.22,1186,34.1333333333333
39.23,-106.32,3032,21.0666666666667
37.38,-107.65,2464,24.4333333333333
40.48,-103.02,1339,30
39.18,-103.7,1695,28.2666666666667
40.17,-105.07,1510,30.5
37.17,-105.95,2344,25.6
40.03,-107.47,2377,24.1666666666667
40.03,-107.92,1937,28.8333333333333
37.2,-108.5,2123,28.4333333333333
38.48,-107.88,1763,30.2
40.6,-103.85,1458,29.6333333333333
40.93,-103.77,1579,27.5
37.82,-109.03,1976,28.6333333333333
39.9,-105.02,1635,30.0333333333333
38.13,-108.28,2139,28.0333333333333
40.7,-104.78,1580,30
38.52,-103.7,1453,32.4666666666667
37.27,-107.02,2169,27.8333333333333
39.1,-108.35,1440,33.1666666666667
38.87,-107.58,1733,31.5666666666667
38.38,-108.98,1686,32.3
39.52,-104.65,1922,28.5
38.28,-104.5,1415,32.4333333333333
38.27,-104.72,1480,31.5333333333333
40.08,-108.8,1610,31.6666666666667
38.15,-107.75,2133,26.6
38.03,-103.7,1271,32.1333333333333
38.87,-104.08,1833,25.7666666666667
38.85,-104.98,2758,20.8
38.08,-106.13,2345,25.2
38.53,-106.02,2182,27.6666666666667
37.18,-105.4,2448,27.2
40.85,-102.52,1216,31.5666666666667
40.48,-106.42,2532,23.0333333333333
37.38,-102.7,1396,33.5
40.5,-106.83,2085,26.9333333333333
40.62,-103.2,1202,31.7666666666667
39.43,-105.12,1780,28
38.42,-104.12,1525,32
37.95,-107.87,2643,24.5
37.17,-104.48,1838,28.9333333333333
37.25,-104.33,1753,31.0666666666667
38.37,-108.73,1531,34.3333333333333
40.73,-106.27,2471,24.6
37.62,-104.8,1897,29.8666666666667
37.4,-102.28,1214,32.6
40.42,-105.2,1586,29.3
38.13,-105.48,2396,25.6
40.03,-106.22,2332,25.4333333333333
37.48,-106.78,3243,18.8666666666667
40.07,-102.23,1077,31.5666666666667
37.55,-108.73,2092,29.7333333333333
40.12,-102.73,1260,31.2666666666667
40.399,-105.848,2753,24.0666666666667
40.414,-105.82,3262,17.1333333333333
40.225,-105.92,2659,22.7333333333333
39.916,-105.761,2951,21.7666666666667
39.646,-105.87,3384,17.3
39.804,-105.778,3445,17.3333333333333
41.17,-73.13,8,26.6666666666667
41.65,-73.48,79,27.2
41.95,-73.37,168,27.4333333333333
41.35,-72.05,12,25.8333333333333
41.73,-72.65,6,27.4666666666667
41.93,-72.68,65,28.2
41.75,-72.18,76,26.7
41.55,-72.72,112,28.2666666666667
41.4,-72.9,55,28
41.97,-73.22,409,23.8333333333333
41.72,-73.3,256,25.2666666666667
41.13,-73.55,58,27.1666666666667
41.8,-72.25,198,25.4333333333333
42.733,-106.317,2393,21.8666666666667
41.15,-107.9667,3024,17.5333333333333
41,-106.9,2729,19.5
40.534,-106.781,2561,25.1666666666667
40.347,-106.094,2909,20.1333333333333
40.08,-106.67,2707,22.5333333333333
40.368,-106.74,2866,22.2666666666667
40.848,-106.969,2652,23.4333333333333
40.537,-106.677,3201,17.0333333333333
39.361,-106.06,3476,16.6333333333333
39.075,-106.612,3232,17.2
39.298,-106.608,2652,25.3
39.38,-106.197,3476,15.3333333333333
39.718,-106.158,2866,21.8666666666667
39.489,-106.171,3201,19.2
39.317,-106.615,2927,21.9666666666667
39.617,-106.38,3140,18.9666666666667
39.088,-106.542,3232,18.1
38.82,-106.59,2927,22.6333333333333
38.894,-106.953,3098,20.6333333333333
37.486,-106.835,3088,21.1666666666667
37.379,-106.548,3354,17.0666666666667
39.15,-75.52,9,29.3
38.63,-75.47,15,29.4333333333333
38.83,-75.58,14,28.9666666666667
38.77,-75.13,3,29.1333333333333
38.9,-75.47,9,28.9333333333333
39.67,-75.73,27,28.8
39.77,-75.53,82,28.2
41.117,-107.167,2485,23.0333333333333
41.05,-107.267,2268,26.1666666666667
41.3,-107.167,2701,22.6666666666667
40.167,-107.058,2774,21.3
40.108,-107.294,3152,21.9333333333333
36.994,-105.26,3810,21.7
39.046,-107.874,3037,16.6666666666667
39.129,-107.288,2896,20.5333333333333
39.015,-107.049,3262,18.2333333333333
39.765,-107.357,3317,16.2333333333333
39.999,-107.236,2957,20.1
37.651,-107.805,2707,23.4666666666667
37.699,-107.777,3250,18.3
37.749,-107.689,3201,19.3666666666667
37.847,-107.727,3061,19.4666666666667
37.62,-107.035,3430,17.6
37.934,-107.675,2988,21.0666666666667
37.799,-107.924,3110,15.4666666666667
37.992,-107.204,3488,16.9
37.485,-107.507,3317,17.1333333333333
37.714,-107.512,3537,16.3333333333333
37.892,-107.713,3399,16.9333333333333
37.476,-107.633,3415,15.7333333333333
33.36,-107.831,2591,24.9666666666667
29.73,-85.03,6,33.2
27.23,-81.85,19,32.7
27.18,-81.35,43,34.0333333333333
27.6,-81.5,46,33.3666666666667
27.9,-81.85,38,33.2666666666667
26.65,-80.63,5,33.1
27.45,-82.47,6,33.7666666666667
28.67,-82.08,23,32.3333333333333
26.87,-80.63,9,33.8
30.78,-85.48,40,34.1666666666667
28.48,-81.78,40,32.8666666666667
26.75,-80.92,6,33.4333333333333
24.78,-80.88,2,31.1666666666667
30.8,-86.57,83,34.5333333333333
29.18,-81.05,10,32.6666666666667
30.73,-86.07,70,34
29.02,-81.28,12,32.1333333333333
26.6,-81.13,6,34.3333333333333
25.85,-81.38,2,32.6333333333333
29.75,-81.53,2,33.1333333333333
30.65,-81.47,4,32.3333333333333
25.15,-80.92,1,32.0666666666667
26.1,-80.2,5,32.4333333333333
26.6,-81.87,5,33.9
27.47,-80.35,8,32.9
29.68,-82.27,44,32.7
30.25,-82.17,43,32.9333333333333
29.72,-81.5,3,32.6
25.83,-80.28,4,32.8666666666667
29.83,-82.6,21,34.8666666666667
26.47,-81.43,12,33.6333333333333
28.73,-82.32,12,33.5666666666667
30.42,-81.65,12,33.9333333333333
30.28,-81.4,3,31.5333333333333
24.55,-81.75,1,32.6666666666667
28.08,-81.73,46,33.7333333333333
30.18,-82.6,59,33.4666666666667
28.03,-81.95,73,34.5
28.88,-81.8,21,33.8666666666667
30.28,-82.97,31,34.7666666666667
30.53,-83.43,55,34.3666666666667
30.1,-83.23,21,33.8333333333333
25.82,-80.28,7,32.8
30.78,-87.15,66,33.8
30.53,-83.87,64,34.2
26.83,-81.08,6,33.5
27.23,-82.32,6,34.0666666666667
26.12,-81.82,3,33.3333333333333
25.85,-81.03,2,35.3
29.2,-82.08,23,33.3666666666667
28.45,-81.32,29,33.4333333333333
30.22,-85.6,10,32.9333333333333
30.47,-87.2,34,33.5666666666667
25.58,-80.43,3,33.0333333333333
30.08,-83.57,14,34.2666666666667
28.02,-82.13,37,32.8333333333333
26.23,-80.15,5,33.3666666666667
26.97,-81.97,3,33.5333333333333
30.6,-84.55,76,33.6333333333333
25.38,-80.6,3,30.7
29.9,-81.32,3,32.3333333333333
28.33,-82.27,58,33.1
27.78,-82.63,11,31.9666666666667
28.8,-81.25,3,32.9333333333333
29.67,-83.4,3,33.2333333333333
27.2,-80.25,3,32
30.38,-84.37,17,34.5333333333333
25.75,-80.83,3,34.3
27.97,-82.53,11,33.2666666666667
28.15,-82.75,2,33.0666666666667
25.02,-80.52,2,32.6
28.62,-80.82,2,33.2333333333333
29.42,-82.82,9,33.5333333333333
27.65,-80.42,8,32.3
27.63,-80.45,6,32.3333333333333
27.57,-81.82,37,34.1
